date,sales
2023-02-27,1657
2023-02-28,1613
2023-03-01,1566
2023-03-02,1578
2023-03-03,1533
2023-03-04,1616
2023-03-05,1753
2023-03-06,1785
2023-03-07,1824
2023-03-08,1584
2023-03-09,1535
2023-03-10,1547
2023-03-11,1679
2023-03-12,1889
2023-03-13,1860
2023-03-14,1741
2023-03-15,1620
2023-03-16,1666
2023-03-17,1601
2023-03-18,1771
2023-03-19,1763
2023-03-20,1741
2023-03-21,1620
2023-03-22,1615
2023-03-23,1536
2023-03-24,1500
2023-03-25,2032
2023-03-26,1827
2023-03-27,1806
2023-03-28,2343
2023-03-29,1587
2023-03-30,1556
2023-03-31,1571
2023-04-01,1630
2023-04-02,1816
2023-04-03,1667
2023-04-04,1688
2023-04-05,1670
2023-04-06,1630
2023-04-07,1589
2023-04-08,1747
2023-04-09,1820
2023-04-10,2175
2023-04-11,2125
2023-04-12,2070
2023-04-13,1956
2023-04-14,2011
2023-04-15,2145
2023-04-16,2198
2023-04-17,2127
2023-04-18,1715
2023-04-19,1647
2023-04-20,1588
2023-04-21,1644
2023-04-22,1640
2023-04-23,1737
2023-04-24,1637
2023-04-25,1702
2023-04-26,1556
2023-04-27,1530
2023-04-28,1514
2023-04-29,1668
2023-04-30,1824
2023-05-01,1767
2023-05-02,1684
2023-05-03,1649
2023-05-04,1606
2023-05-05,1577
2023-05-06,1670
2023-05-07,1780
2023-05-08,1724
2023-05-09,2387
2023-05-10,1716
2023-05-11,1674
2023-05-12,1520
2023-05-13,1796
2023-05-14,1920
2023-05-15,1820
2023-05-16,1604
2023-05-17,1693
2023-05-18,1547
2023-05-19,1542
2023-05-20,1699
2023-05-21,1695
2023-05-22,2586
2023-05-23,1711
2023-05-24,1573
2023-05-25,1489
2023-05-26,1507
2023-05-27,1582
2023-05-28,1709
2023-05-29,1603
2023-05-30,1680
2023-05-31,1450
2023-06-01,1547
2023-06-02,1579
2023-06-03,1739
2023-06-04,2226
2023-06-05,1772
2023-06-06,1674
2023-06-07,1545
2023-06-08,1623
2023-06-09,1566
2023-06-10,1640
2023-06-11,1758
2023-06-12,1715
2023-06-13,1697
2023-06-14,1693
2023-06-15,1544
2023-06-16,1537
2023-06-17,1767
2023-06-18,2650
2023-06-19,1677
2023-06-20,1579
2023-06-21,1521
2023-06-22,1441
2023-06-23,1460
2023-06-24,1647
2023-06-25,1633
2023-06-26,1641
2023-06-27,2422
2023-06-28,2478
2023-06-29,1393
2023-06-30,1449
2023-07-01,1576
2023-07-02,1849
2023-07-03,1602
2023-07-04,1607
2023-07-05,1646
2023-07-06,1499
2023-07-07,1531
2023-07-08,1697
2023-07-09,1699
2023-07-10,1630
2023-07-11,1634
2023-07-12,1549
2023-07-13,1402
2023-07-14,1507
2023-07-15,1666
2023-07-16,2517
2023-07-17,1651
2023-07-18,1608
2023-07-19,1497
2023-07-20,1437
2023-07-21,1402
2023-07-22,2006
2023-07-23,1587
2023-07-24,1534
2023-07-25,1501
2023-07-26,1468
2023-07-27,2090
2023-07-28,1391
2023-07-29,1473
2023-07-30,1570
2023-07-31,1597
2023-08-01,1469
2023-08-02,1482
2023-08-03,1339
2023-08-04,1460
2023-08-05,2173
2023-08-06,1625
2023-08-07,1708
2023-08-08,1650
2023-08-09,1466
2023-08-10,1450
2023-08-11,1504
2023-08-12,1611
2023-08-13,1636
2023-08-14,1566
2023-08-15,1580
2023-08-16,1497
2023-08-17,1460
2023-08-18,1308
2023-08-19,1453
2023-08-20,1633
2023-08-21,1456
2023-08-22,1526
2023-08-23,2249
2023-08-24,1294
2023-08-25,1345
2023-08-26,2306
2023-08-27,1587
2023-08-28,1592
2023-08-29,1505
2023-08-30,1374
2023-08-31,1267
2023-09-01,1297
2023-09-02,1449
2023-09-03,1596
2023-09-04,1571
2023-09-05,1561
2023-09-06,1356
2023-09-07,1454
2023-09-08,1447
2023-09-09,1536
2023-09-10,1571
2023-09-11,1737
2023-09-12,1513
2023-09-13,1434
2023-09-14,1392
2023-09-15,1341
2023-09-16,1497
2023-09-17,1618
2023-09-18,1563
2023-09-19,1501
2023-09-20,1316
2023-09-21,1299
2023-09-22,1304
2023-09-23,2102
2023-09-24,1545
2023-09-25,1496
2023-09-26,1553
2023-09-27,1342
2023-09-28,1289
2023-09-29,1280
2023-09-30,1406
2023-10-01,1507
2023-10-02,1500
2023-10-03,1553
2023-10-04,1417
2023-10-05,1381
2023-10-06,1394
2023-10-07,1558
2023-10-08,1688
2023-10-09,1492
2023-10-10,1591
2023-10-11,1330
2023-10-12,1394
2023-10-13,1510
2023-10-14,1398
2023-10-15,1624
2023-10-16,1652
2023-10-17,1463
2023-10-18,1423
2023-10-19,1368
2023-10-20,1327
2023-10-21,1460
2023-10-22,1526
2023-10-23,1512
2023-10-24,1479
2023-10-25,1374
2023-10-26,1350
2023-10-27,1247
2023-10-28,1471
2023-10-29,1985
2023-10-30,1549
2023-10-31,1505
2023-11-01,1412
2023-11-02,1399
2023-11-03,1452
2023-11-04,1549
2023-11-05,1588
2023-11-06,1532
2023-11-07,2685
2023-11-08,1492
2023-11-09,1385
2023-11-10,1485
2023-11-11,1564
2023-11-12,1582
2023-11-13,1675
2023-11-14,1611
2023-11-15,1370
2023-11-16,1378
2023-11-17,1388
2023-11-18,1621
2023-11-19,1609
2023-11-20,1497
2023-11-21,1551
2023-11-22,1362
2023-11-23,1353
2023-11-24,1348
2023-11-25,1496
2023-11-26,1647
2023-11-27,1641
2023-11-28,2587
2023-11-29,1478
2023-11-30,1371
2023-12-01,1403
2023-12-02,1607
2023-12-03,1624
2023-12-04,1666
2023-12-05,1636
2023-12-06,1506
2023-12-07,1544
2023-12-08,1448
2023-12-09,1711
2023-12-10,1636
2023-12-11,1816
2023-12-12,1615
2023-12-13,1492
2023-12-14,1478
2023-12-15,1453
2023-12-16,1650
2023-12-17,2312
2023-12-18,1607
2023-12-19,1622
2023-12-20,3140
2023-12-21,2085
2023-12-22,2071
2023-12-23,2236
2023-12-24,2256
2023-12-25,2203
2023-12-26,2212
2023-12-27,2033
2023-12-28,1967
2023-12-29,2077
2023-12-30,2205
2023-12-31,2337
2024-01-01,1743
2024-01-02,1676
2024-01-03,1626
2024-01-04,1552
2024-01-05,1589
2024-01-06,1705
2024-01-07,1817
2024-01-08,1769
2024-01-09,1727
2024-01-10,1621
2024-01-11,1614
2024-01-12,1559
2024-01-13,1724
2024-01-14,1858
2024-01-15,1706
2024-01-16,1589
2024-01-17,1616
2024-01-18,1526
2024-01-19,1598
2024-01-20,1675
2024-01-21,1724
2024-01-22,1706
2024-01-23,1707
2024-01-24,1598
2024-01-25,1406
2024-01-26,1553
2024-01-27,1698
2024-01-28,2765
2024-01-29,1712
2024-01-30,1755
2024-01-31,1684
2024-02-01,1481
2024-02-02,1578
2024-02-03,1755
2024-02-04,1894
2024-02-05,2746
2024-02-06,1742
2024-02-07,2743
2024-02-08,1637
2024-02-09,1662
2024-02-10,1803
2024-02-11,1906
2024-02-12,1821
2024-02-13,1810
2024-02-14,1683
2024-02-15,1576
2024-02-16,1755
2024-02-17,1717
2024-02-18,1836
2024-02-19,1827
2024-02-20,1678
2024-02-21,1657
2024-02-22,1545
2024-02-23,1611
2024-02-24,1779
2024-02-25,1718
2024-02-26,1731
2024-02-27,1719
2024-02-28,1599
2024-02-29,1609
2024-03-01,1644
2024-03-02,1889
2024-03-03,1823
2024-03-04,1905
2024-03-05,1792
2024-03-06,1758
2024-03-07,1787
2024-03-08,1745
2024-03-09,1869
2024-03-10,2006
2024-03-11,1944
2024-03-12,1799
2024-03-13,1762
2024-03-14,1608
2024-03-15,1676
2024-03-16,1844
2024-03-17,1869
2024-03-18,1862
2024-03-19,1786
2024-03-20,1719
2024-03-21,1613
2024-03-22,1602
2024-03-23,1847
2024-03-24,1828
2024-03-25,1841
2024-03-26,1826
2024-03-27,1684
2024-03-28,1587
2024-03-29,1645
2024-03-30,1844
2024-03-31,1892
2024-04-01,1795
2024-04-02,1837
2024-04-03,1770
2024-04-04,1673
2024-04-05,1746
2024-04-06,1871
2024-04-07,1933
2024-04-08,1845
2024-04-09,1906
2024-04-10,2176
2024-04-11,2112
2024-04-12,2172
2024-04-13,2274
2024-04-14,2331
2024-04-15,2146
2024-04-16,2244
2024-04-17,2096
2024-04-18,1674
2024-04-19,1684
2024-04-20,1832
2024-04-21,2614
2024-04-22,1848
2024-04-23,1782
2024-04-24,1683
2024-04-25,1460
2024-04-26,1624
2024-04-27,1732
2024-04-28,1914
2024-04-29,1852
2024-04-30,1756
2024-05-01,1684
2024-05-02,1638
2024-05-03,1665
2024-05-04,1760
2024-05-05,1834
2024-05-06,1880
2024-05-07,1882
2024-05-08,1724
2024-05-09,1713
2024-05-10,1752
2024-05-11,2359
2024-05-12,1922
2024-05-13,1845
2024-05-14,1891
2024-05-15,1795
2024-05-16,1611
2024-05-17,1684
2024-05-18,1841
2024-05-19,1896
2024-05-20,1810
2024-05-21,1823
2024-05-22,2734
2024-05-23,1576
2024-05-24,1563
2024-05-25,1774
2024-05-26,1786
2024-05-27,1766
2024-05-28,1753
2024-05-29,1676
2024-05-30,1554
2024-05-31,1672
2024-06-01,1787
2024-06-02,1799
2024-06-03,1755
2024-06-04,1771
2024-06-05,1733
2024-06-06,1687
2024-06-07,1685
2024-06-08,1807
2024-06-09,1906
2024-06-10,1799
2024-06-11,1862
2024-06-12,1770
2024-06-13,1650
2024-06-14,1649
2024-06-15,1746
2024-06-16,1855
2024-06-17,1746
2024-06-18,1609
2024-06-19,1490
2024-06-20,1517
2024-06-21,1571
2024-06-22,1707
2024-06-23,1739
2024-06-24,1725
2024-06-25,1650
2024-06-26,1530
2024-06-27,1523
2024-06-28,1587
2024-06-29,1644
2024-06-30,2196
2024-07-01,1688
2024-07-02,1602
2024-07-03,1593
2024-07-04,1603
2024-07-05,1603
2024-07-06,1728
2024-07-07,1823
2024-07-08,1756
2024-07-09,1635
2024-07-10,1677
2024-07-11,1634
2024-07-12,1563
2024-07-13,1719
2024-07-14,1783
2024-07-15,2279
2024-07-16,1759
2024-07-17,1638
2024-07-18,1500
2024-07-19,1551
2024-07-20,1710
2024-07-21,1737
2024-07-22,1669
2024-07-23,1630
2024-07-24,1486
2024-07-25,1437
2024-07-26,1431
2024-07-27,1632
2024-07-28,1691
2024-07-29,1623
2024-07-30,1607
2024-07-31,1559
2024-08-01,1581
2024-08-02,1565
2024-08-03,1554
2024-08-04,1756
2024-08-05,1779
2024-08-06,2234
2024-08-07,1608
2024-08-08,1520
2024-08-09,1604
2024-08-10,1702
2024-08-11,1714
2024-08-12,1700
2024-08-13,1643
2024-08-14,1549
2024-08-15,1545
2024-08-16,1461
2024-08-17,1672
2024-08-18,1676
2024-08-19,1650
2024-08-20,1581
2024-08-21,1483
2024-08-22,1423
2024-08-23,1506
2024-08-24,1610
2024-08-25,1629
2024-08-26,1681
2024-08-27,1569
2024-08-28,1493
2024-08-29,1390
2024-08-30,1432
2024-08-31,1567
2024-09-01,1689
2024-09-02,1683
2024-09-03,1626
2024-09-04,1606
2024-09-05,1443
2024-09-06,1514
2024-09-07,1588
2024-09-08,1683
2024-09-09,1746
2024-09-10,1609
2024-09-11,1504
2024-09-12,1994
2024-09-13,1456
2024-09-14,1612
2024-09-15,1625
2024-09-16,1626
2024-09-17,1636
2024-09-18,1448
2024-09-19,1374
2024-09-20,1377
2024-09-21,1326
2024-09-22,1656
2024-09-23,1590
2024-09-24,2560
2024-09-25,1545
2024-09-26,1314
2024-09-27,1442
2024-09-28,1514
2024-09-29,1688
2024-09-30,1608
2024-10-01,1578
2024-10-02,1441
2024-10-03,1438
2024-10-04,1491
2024-10-05,1695
2024-10-06,1677
2024-10-07,1654
2024-10-08,1675
2024-10-09,1507
2024-10-10,1548
2024-10-11,1511
2024-10-12,1657
2024-10-13,1731
2024-10-14,1638
2024-10-15,1624
2024-10-16,1476
2024-10-17,1427
2024-10-18,1487
2024-10-19,1602
2024-10-20,1901
2024-10-21,1553
2024-10-22,1507
2024-10-23,1480
2024-10-24,2198
2024-10-25,1381
2024-10-26,1533
2024-10-27,1661
2024-10-28,1627
2024-10-29,1501
2024-10-30,1510
2024-10-31,1432
2024-11-01,1567
2024-11-02,1649
2024-11-03,2501
2024-11-04,1715
2024-11-05,1593
2024-11-06,1664
2024-11-07,1448
2024-11-08,1585
2024-11-09,1714
2024-11-10,1665
2024-11-11,1751
2024-11-12,1648
2024-11-13,1541
2024-11-14,1535
2024-11-15,1477
2024-11-16,1642
2024-11-17,1694
2024-11-18,1658
2024-11-19,1635
2024-11-20,1496
2024-11-21,1458
2024-11-22,1460
2024-11-23,1687
2024-11-24,1713
2024-11-25,1671
2024-11-26,1645
2024-11-27,1507
2024-11-28,1532
2024-11-29,1537
2024-11-30,1594
2024-12-01,1688
2024-12-02,1701
2024-12-03,1624
2024-12-04,1601
2024-12-05,1522
2024-12-06,1593
2024-12-07,1807
2024-12-08,1820
2024-12-09,1772
2024-12-10,1753
2024-12-11,1616
2024-12-12,1633
2024-12-13,1632
2024-12-14,1740
2024-12-15,1816
2024-12-16,1858
2024-12-17,1746
2024-12-18,1714
2024-12-19,1575
2024-12-20,2086
2024-12-21,2275
2024-12-22,2281
2024-12-23,2052
2024-12-24,2304
2024-12-25,3263
2024-12-26,2108
2024-12-27,2172
2024-12-28,2252
2024-12-29,2336
2024-12-30,2425
